Date,Geography,Institution type,Registration status,ISCED,Field of study,Gender,Status of student in Canada,UOM,Scalar Factor,Value
2016/2017,Canada,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2076111
2017/2018,Canada,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2116560
2018/2019,Canada,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2156217
2019/2020,Canada,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2183973
2016/2017,Newfoundland and Labrador,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,25968
2017/2018,Newfoundland and Labrador,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,25305
2018/2019,Newfoundland and Labrador,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,24795
2019/2020,Newfoundland and Labrador,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,25251
2016/2017,Prince Edward Island,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,6189
2017/2018,Prince Edward Island,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,8037
2018/2019,Prince Edward Island,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,7455
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,8505
2016/2017,Nova Scotia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,54966
2017/2018,Nova Scotia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,53490
2018/2019,Nova Scotia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,54495
2019/2020,Nova Scotia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,57033
2016/2017,New Brunswick,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,27369
2017/2018,New Brunswick,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,27057
2018/2019,New Brunswick,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,26790
2019/2020,New Brunswick,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,27909
2016/2017,Quebec,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,532176
2017/2018,Quebec,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,534054
2018/2019,Quebec,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,530367
2019/2020,Quebec,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,529743
2016/2017,Ontario,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,838416
2017/2018,Ontario,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,864834
2018/2019,Ontario,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,889779
2019/2020,Ontario,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,907650
2016/2017,Manitoba,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,62952
2017/2018,Manitoba,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,62802
2018/2019,Manitoba,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,63477
2019/2020,Manitoba,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,65034
2016/2017,Saskatchewan,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,55602
2017/2018,Saskatchewan,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,56529
2018/2019,Saskatchewan,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,59301
2019/2020,Saskatchewan,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,56784
2016/2017,Alberta,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,190947
2017/2018,Alberta,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,194010
2018/2019,Alberta,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,200391
2019/2020,Alberta,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,203823
2016/2017,British Columbia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,277974
2017/2018,British Columbia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,286914
2018/2019,British Columbia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,295320
2019/2020,British Columbia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,297435
2016/2017,Territories,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,3549
2017/2018,Territories,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,3534
2018/2019,Territories,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,4047
2019/2020,Territories,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,4803
2016/2017,Canada,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,1164435
2017/2018,Canada,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,1181688
2018/2019,Canada,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,1204728
2019/2020,Canada,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,1219584
2016/2017,Newfoundland and Labrador,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,14142
2017/2018,Newfoundland and Labrador,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,13638
2018/2019,Newfoundland and Labrador,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,13347
2019/2020,Newfoundland and Labrador,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,13443
2016/2017,Prince Edward Island,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,3411
2017/2018,Prince Edward Island,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,4323
2018/2019,Prince Edward Island,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,3990
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,4530
2016/2017,Nova Scotia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,30795
