Date,Geography,Labour force characteristics,Sex,Age group,UOM,Scalar Factor,Value
2017-01,Canada,Population,Both sexes,15 years and over,Persons,thousands,29579.6
2017-02,Canada,Population,Both sexes,15 years and over,Persons,thousands,29605.3
2017-03,Canada,Population,Both sexes,15 years and over,Persons,thousands,29635.8
2017-04,Canada,Population,Both sexes,15 years and over,Persons,thousands,29667.1
2017-05,Canada,Population,Both sexes,15 years and over,Persons,thousands,29706.9
2017-06,Canada,Population,Both sexes,15 years and over,Persons,thousands,29740.8
2017-07,Canada,Population,Both sexes,15 years and over,Persons,thousands,29778.3
2017-08,Canada,Population,Both sexes,15 years and over,Persons,thousands,29824.0
2017-09,Canada,Population,Both sexes,15 years and over,Persons,thousands,29859.0
2017-10,Canada,Population,Both sexes,15 years and over,Persons,thousands,29892.9
2017-11,Canada,Population,Both sexes,15 years and over,Persons,thousands,29925.3
2017-12,Canada,Population,Both sexes,15 years and over,Persons,thousands,29956.7
2018-01,Canada,Population,Both sexes,15 years and over,Persons,thousands,30001.3
2018-02,Canada,Population,Both sexes,15 years and over,Persons,thousands,30032.2
2018-03,Canada,Population,Both sexes,15 years and over,Persons,thousands,30069.2
2018-04,Canada,Population,Both sexes,15 years and over,Persons,thousands,30117.6
2018-05,Canada,Population,Both sexes,15 years and over,Persons,thousands,30156.6
2018-06,Canada,Population,Both sexes,15 years and over,Persons,thousands,30197.4
2018-07,Canada,Population,Both sexes,15 years and over,Persons,thousands,30249.6
2018-08,Canada,Population,Both sexes,15 years and over,Persons,thousands,30289.2
2018-09,Canada,Population,Both sexes,15 years and over,Persons,thousands,30328.1
2018-10,Canada,Population,Both sexes,15 years and over,Persons,thousands,30366.6
2018-11,Canada,Population,Both sexes,15 years and over,Persons,thousands,30402.5
2018-12,Canada,Population,Both sexes,15 years and over,Persons,thousands,30437.2
2019-01,Canada,Population,Both sexes,15 years and over,Persons,thousands,30479.8
2019-02,Canada,Population,Both sexes,15 years and over,Persons,thousands,30507.8
2019-03,Canada,Population,Both sexes,15 years and over,Persons,thousands,30542.6
2019-04,Canada,Population,Both sexes,15 years and over,Persons,thousands,30589.0
2019-05,Canada,Population,Both sexes,15 years and over,Persons,thousands,30630.4
2019-06,Canada,Population,Both sexes,15 years and over,Persons,thousands,30674.7
2019-07,Canada,Population,Both sexes,15 years and over,Persons,thousands,30727.5
2019-08,Canada,Population,Both sexes,15 years and over,Persons,thousands,30763.6
2019-09,Canada,Population,Both sexes,15 years and over,Persons,thousands,30808.9
2019-10,Canada,Population,Both sexes,15 years and over,Persons,thousands,30842.3
2019-11,Canada,Population,Both sexes,15 years and over,Persons,thousands,30872.5
2019-12,Canada,Population,Both sexes,15 years and over,Persons,thousands,30897.9
2020-01,Canada,Population,Both sexes,15 years and over,Persons,thousands,30924.2
2020-02,Canada,Population,Both sexes,15 years and over,Persons,thousands,30949.3
2020-03,Canada,Population,Both sexes,15 years and over,Persons,thousands,30978.8
2020-04,Canada,Population,Both sexes,15 years and over,Persons,thousands,30994.3
2020-05,Canada,Population,Both sexes,15 years and over,Persons,thousands,31009.1
2020-06,Canada,Population,Both sexes,15 years and over,Persons,thousands,31037.0
2020-07,Canada,Population,Both sexes,15 years and over,Persons,thousands,31061.6
2020-08,Canada,Population,Both sexes,15 years and over,Persons,thousands,31084.7
2020-09,Canada,Population,Both sexes,15 years and over,Persons,thousands,31114.6
2020-10,Canada,Population,Both sexes,15 years and over,Persons,thousands,31138.8
2020-11,Canada,Population,Both sexes,15 years and over,Persons,thousands,31161.3
2020-12,Canada,Population,Both sexes,15 years and over,Persons,thousands,31177.5
2021-01,Canada,Population,Both sexes,15 years and over,Persons,thousands,31191.2
2021-02,Canada,Population,Both sexes,15 years and over,Persons,thousands,31216.2
2021-03,Canada,Population,Both sexes,15 years and over,Persons,thousands,31234.5
2021-04,Canada,Population,Both sexes,15 years and over,Persons,thousands,31251.6
2021-05,Canada,Population,Both sexes,15 years and over,Persons,thousands,31265.9
